ranker,player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
1626,Arkaitz Mariezkurrena,es ESP,"FW,MF",Real Sociedad,es La Liga,19,2005,9,1,241,2.7,2,0,2,2,0,0,1,0,1.0,1.0,0.1,1.1,3,4,12,0.75,0.00,0.75,0.75,0.75,0.36,0.06,0.41,0.36,0.41,Matches
1627,Rafa Marín,es ESP,DF,Napoli,it Serie A,22,2002,4,1,142,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,5,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
1628,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,21,2003,23,14,"1,239",13.8,1,2,3,1,0,0,3,0,1.4,1.4,1.0,2.4,20,45,47,0.07,0.15,0.22,0.07,0.22,0.10,0.07,0.17,0.10,0.17,Matches
1629,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,28,1996,33,13,"1,406",15.6,3,2,5,1,2,2,4,0,2.4,0.8,3.6,4.5,22,84,29,0.19,0.13,0.32,0.06,0.19,0.15,0.23,0.39,0.05,0.29,Matches
1630,Guillermo Maripán,cl CHI,DF,Torino,it Serie A,30,1994,28,27,"2,340",26.0,1,1,2,1,0,0,4,1,0.9,0.9,1.0,2.0,14,96,9,0.04,0.04,0.08,0.04,0.08,0.04,0.04,0.08,0.04,0.08,Matches
1631,Mika Mármol,es ESP,DF,Las Palmas,es La Liga,23,2001,30,27,"2,399",26.7,0,1,1,0,0,0,5,0,0.4,0.4,1.5,1.9,33,106,62,0.00,0.04,0.04,0.00,0.04,0.02,0.06,0.07,0.02,0.07,Matches
1632,Omar Marmoush,eg EGY,"FW,MF",Manchester City,eng Premier League,25,1999,16,14,"1,175",13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0.00,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64,Matches
1633,Omar Marmoush,eg EGY,FW,Eint Frankfurt,de Bundesliga,25,1999,17,17,"1,448",16.1,15,9,24,13,2,2,2,0,8.8,7.3,6.2,13.5,73,50,125,0.93,0.56,1.49,0.81,1.37,0.55,0.39,0.94,0.45,0.84,Matches
1634,Mario Maroto,es ESP,MF,Valladolid,es La Liga,20,2003,2,0,64,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,1.41,1.41,0.00,1.41,0.02,0.09,0.12,0.02,0.12,Matches
1635,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,30,1994,22,19,"1,725",19.2,2,0,2,2,0,0,3,0,1.1,1.1,0.8,1.9,29,151,4,0.10,0.00,0.10,0.10,0.10,0.06,0.04,0.10,0.06,0.10,Matches
1636,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,22,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1637,Ange Martial Tia,ml MLI,"MF,DF",Reims,fr Ligue 1,17,2006,6,2,171,1.9,0,0,0,0,0,0,0,0,1.3,1.3,0.0,1.3,2,8,9,0.00,0.00,0.00,0.00,0.00,0.68,0.01,0.70,0.68,0.70,Matches
1638,Aarón Martín,es ESP,DF,Genoa,it Serie A,27,1997,36,35,"3,085",34.3,0,8,8,0,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0.00,0.23,0.23,0.00,0.23,0.03,0.16,0.19,0.03,0.19,Matches
1639,Carlos Martín,es ESP,"FW,MF",Alavés,es La Liga,22,2002,26,16,"1,333",14.8,2,2,4,2,0,0,3,0,2.3,2.3,2.7,5.0,13,21,67,0.14,0.14,0.27,0.14,0.27,0.15,0.19,0.34,0.15,0.34,Matches
1640,Diego Martín,es ESP,FW,Las Palmas,es La Liga,20,2003,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
1641,Gerard Martín,es ESP,DF,Barcelona,es La Liga,22,2002,28,11,"1,038",11.5,1,3,4,1,0,0,2,0,0.5,0.5,1.1,1.6,10,40,122,0.09,0.26,0.35,0.09,0.35,0.04,0.10,0.14,0.04,0.14,Matches
1642,Iván Martín,es ESP,MF,Girona,es La Liga,25,1999,32,24,"2,039",22.7,1,1,2,1,0,0,1,0,1.8,1.8,1.9,3.6,57,131,76,0.04,0.04,0.09,0.04,0.09,0.08,0.08,0.16,0.08,0.16,Matches
1643,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,18,2006,13,6,904,10.0,0,1,1,0,0,0,2,0,0.6,0.6,0.2,0.8,4,34,0,0.00,0.10,0.10,0.00,0.10,0.06,0.02,0.08,0.06,0.08,Matches
1644,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,34,1990,17,5,496,5.5,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,8,21,9,0.18,0.00,0.18,0.18,0.18,0.07,0.06,0.14,0.07,0.14,Matches
1645,Mario Martín,es ESP,MF,Valladolid,es La Liga,20,2004,30,20,"1,748",19.4,0,1,1,0,0,0,8,3,1.8,1.8,1.4,3.2,18,66,22,0.00,0.05,0.05,0.00,0.05,0.09,0.07,0.16,0.09,0.16,Matches
1646,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,eng Premier League,23,2001,33,25,"2,290",25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,Matches
1647,Arnau Martinez,es ESP,"DF,MF",Girona,es La Liga,21,2003,32,30,"2,624",29.2,2,2,4,2,0,0,3,0,1.2,1.2,2.2,3.5,41,162,102,0.07,0.07,0.14,0.07,0.14,0.04,0.08,0.12,0.04,0.12,Matches
1648,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31,1992,37,37,"3,194",35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
1649,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,33,1991,28,28,"2,490",27.7,0,4,4,0,0,0,5,0,0.5,0.5,2.6,3.1,70,260,11,0.00,0.14,0.14,0.00,0.14,0.02,0.10,0.11,0.02,0.11,Matches
1650,Javi Martínez,es ESP,MF,Osasuna,es La Liga,24,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1651,Josep Martinez,es ESP,GK,Inter,it Serie A,26,1998,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
1652,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,26,1997,31,31,"2,564",28.5,12,3,15,12,0,0,1,0,13.5,13.5,4.3,17.8,34,68,197,0.42,0.11,0.53,0.42,0.53,0.47,0.15,0.62,0.47,0.62,Matches
1653,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,26,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Matches
1654,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,28,1996,8,4,351,3.9,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,3,14,2,0.26,0.00,0.26,0.26,0.26,0.19,0.01,0.19,0.19,0.19,Matches
1655,Ramón Martínez,es ESP,DF,Sevilla,es La Liga,21,2002,5,2,261,2.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,1,5,2,0.34,0.00,0.34,0.34,0.34,0.12,0.02,0.14,0.12,0.14,Matches
1656,Toni Martínez,es ESP,FW,Alavés,es La Liga,27,1997,28,9,"1,012",11.2,4,0,4,4,0,0,1,0,3.6,3.6,0.6,4.2,13,11,57,0.36,0.00,0.36,0.36,0.36,0.32,0.05,0.37,0.32,0.37,Matches
1657,Kevin Martins,it ITA,"MF,DF",Monza,it Serie A,19,2005,9,1,183,2.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,3,6,10,0.00,0.49,0.49,0.00,0.49,0.00,0.19,0.19,0.00,0.19,Matches
1658,Javi Martón,es ESP,"FW,MF",Athletic Club,es La Liga,25,1999,3,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1659,Adam Marušić,me MNE,DF,Lazio,it Serie A,31,1992,35,26,"2,337",26.0,4,0,4,4,0,0,1,0,2.0,2.0,0.6,2.6,23,84,108,0.15,0.00,0.15,0.15,0.15,0.08,0.02,0.10,0.08,0.10,Matches
1660,Marvin,es ESP,"DF,FW",Las Palmas,es La Liga,24,2000,23,9,"1,038",11.5,0,0,0,0,0,0,4,0,0.2,0.2,1.1,1.3,29,30,72,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches
1661,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,31,1993,32,21,"1,992",22.1,1,0,1,1,0,0,5,1,0.5,0.5,0.2,0.7,10,75,12,0.05,0.00,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,Matches
1662,Adam Masina,ma MAR,DF,Torino,it Serie A,30,1994,28,20,"1,919",21.3,1,2,3,1,0,0,5,0,0.7,0.7,0.3,1.0,15,73,10,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05,Matches
1663,Patrizio Masini,it ITA,MF,Genoa,it Serie A,23,2001,26,16,"1,538",17.1,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,16,44,27,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Matches
1664,Giorgos Masouras,gr GRE,"FW,MF",Bochum,de Bundesliga,30,1994,14,12,"1,055",11.7,2,1,3,2,0,0,1,0,3.9,3.9,1.1,5.0,26,19,82,0.17,0.09,0.26,0.17,0.26,0.33,0.09,0.43,0.33,0.43,Matches
1665,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,25,1998,16,10,910,10.1,1,1,2,1,0,0,2,0,0.6,0.6,0.9,1.5,1,35,4,0.10,0.10,0.20,0.10,0.20,0.06,0.09,0.15,0.06,0.15,Matches
1666,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,23,2001,17,11,"1,046",11.6,0,0,0,0,0,0,5,0,0.4,0.4,0.4,0.8,13,28,13,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07,Matches
1667,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,31,1992,29,27,"2,370",26.3,0,4,4,0,0,0,6,0,0.2,0.2,1.4,1.6,20,88,23,0.00,0.15,0.15,0.00,0.15,0.01,0.05,0.06,0.01,0.06,Matches
1668,Jaime Mata,es ESP,"FW,MF",Las Palmas,es La Liga,35,1988,30,4,656,7.3,0,0,0,0,0,0,9,0,2.6,2.6,0.1,2.8,6,10,48,0.00,0.00,0.00,0.00,0.00,0.36,0.02,0.38,0.36,0.38,Matches
1669,Igor Matanovic,hr CRO,FW,Eint Frankfurt,de Bundesliga,21,2003,16,2,312,3.5,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.2,2,6,19,0.29,0.00,0.29,0.29,0.29,0.33,0.01,0.34,0.33,0.34,Matches
1670,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,21,2002,36,22,"1,913",21.3,3,2,5,3,0,0,6,0,3.7,3.7,1.6,5.3,33,88,53,0.14,0.09,0.24,0.14,0.24,0.17,0.08,0.25,0.17,0.25,Matches
1671,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,22,2002,3,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,7,3,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches
1672,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,27,1997,37,33,"2,648",29.4,14,2,16,12,2,2,2,0,13.5,11.9,3.2,15.1,45,52,122,0.48,0.07,0.54,0.41,0.48,0.46,0.11,0.57,0.41,0.51,Matches
1673,Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,35,1988,29,25,"2,010",22.3,0,1,1,0,0,0,1,0,0.1,0.1,1.3,1.3,35,150,15,0.00,0.04,0.04,0.00,0.04,0.00,0.06,0.06,0.00,0.06,Matches
1674,Rudy Matondo,fr FRA,MF,Auxerre,fr Ligue 1,16,2008,5,0,66,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1675,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,22,2002,30,28,"2,551",28.3,1,1,2,1,0,0,4,0,1.8,1.8,0.3,2.1,14,84,13,0.04,0.04,0.07,0.04,0.07,0.06,0.01,0.07,0.06,0.07,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1676,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,19,2005,24,10,921,10.2,2,3,5,2,0,0,3,0,1.9,1.9,1.7,3.6,24,28,93,0.20,0.29,0.49,0.20,0.49,0.18,0.17,0.35,0.18,0.35,Matches
1677,Alan Matturro,uy URU,DF,Genoa,it Serie A,19,2004,13,9,900,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,12,15,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
1678,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,26,1998,29,23,"2,078",23.1,1,3,4,1,0,0,3,0,1.2,1.2,1.8,3.1,19,134,26,0.04,0.13,0.17,0.04,0.17,0.05,0.08,0.13,0.05,0.13,Matches
1679,Neal Maupay,fr FRA,FW,Marseille,fr Ligue 1,27,1996,22,13,"1,042",11.6,4,4,8,4,0,0,3,1,4.1,4.1,2.2,6.3,12,37,81,0.35,0.35,0.69,0.35,0.69,0.36,0.19,0.54,0.36,0.54,Matches
1680,Maurides,br BRA,FW,St. Pauli,de Bundesliga,30,1994,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1681,Stephy Mavididi,eng ENG,FW,Leicester City,eng Premier League,26,1998,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.10,0.15,0.25,0.10,0.25,Matches
1682,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,26,1997,33,21,"2,045",22.7,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2.0,17,61,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
1683,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,19,2005,22,17,"1,501",16.7,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,13,44,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
1684,Borja Mayoral,es ESP,FW,Getafe,es La Liga,27,1997,24,7,"1,114",12.4,5,1,6,4,1,1,0,0,3.4,2.6,0.9,3.6,10,13,43,0.40,0.08,0.48,0.32,0.40,0.28,0.07,0.35,0.21,0.29,Matches
1685,Senny Mayulu,fr FRA,MF,Paris S-G,fr Ligue 1,18,2006,20,8,808,9.0,2,2,4,2,0,0,1,0,2.9,2.9,2.1,4.9,29,46,56,0.22,0.22,0.45,0.22,0.45,0.32,0.23,0.55,0.32,0.55,Matches
1686,Noussair Mazraoui,ma MAR,DF,Manchester Utd,eng Premier League,26,1997,37,34,"2,838",31.5,0,1,1,0,0,0,3,0,0.7,0.7,1.5,2.2,42,115,58,0.00,0.03,0.03,0.00,0.03,0.02,0.05,0.07,0.02,0.07,Matches
1687,Andrea Mazza,it ITA,GK,Monza,it Serie A,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1688,Luca Mazzitelli,it ITA,MF,Como,it Serie A,28,1995,11,3,335,3.7,1,1,2,1,0,0,1,0,0.2,0.2,0.6,0.8,2,27,14,0.27,0.27,0.54,0.27,0.54,0.06,0.15,0.21,0.06,0.21,Matches
1689,Pasquale Mazzocchi,it ITA,"DF,FW",Napoli,it Serie A,29,1995,20,7,702,7.8,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.6,20,23,43,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
1690,Samuel Mbangula,be BEL,FW,Juventus,it Serie A,20,2004,23,7,709,7.9,3,3,6,3,0,0,1,0,0.6,0.6,1.4,2.0,25,17,44,0.38,0.38,0.76,0.38,0.76,0.08,0.17,0.25,0.08,0.25,Matches
1691,Ethan Mbappé,fr FRA,"MF,FW",Lille,fr Ligue 1,17,2006,10,1,222,2.5,0,0,0,0,0,0,3,0,1.1,1.1,1.5,2.6,6,8,32,0.00,0.00,0.00,0.00,0.00,0.44,0.60,1.05,0.44,1.05,Matches
1692,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,25,1998,34,34,"2,907",32.3,31,3,34,24,7,9,3,1,25.9,18.6,7.7,26.3,150,140,386,0.96,0.09,1.05,0.74,0.84,0.80,0.24,1.04,0.58,0.81,Matches
1693,Ibrahim Mbaye,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,16,2008,9,4,340,3.8,1,1,2,1,0,0,0,0,1.8,1.8,1.1,2.9,15,9,54,0.26,0.26,0.53,0.26,0.53,0.48,0.30,0.78,0.48,0.78,Matches
1694,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,24,1999,38,38,"3,414",37.9,20,7,27,15,5,6,3,0,12.3,7.5,8.3,15.9,130,141,351,0.53,0.18,0.71,0.40,0.58,0.32,0.22,0.54,0.20,0.42,Matches
1695,James Mcatee,eng ENG,"MF,FW",Manchester City,eng Premier League,21,2002,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,0.5,3.3,7,7,32,0.77,0.00,0.77,0.77,0.77,0.72,0.13,0.85,0.72,0.85,Matches
1696,Kasey McAteer,ie IRL,FW,Leicester City,eng Premier League,22,2001,18,9,852,9.5,1,1,2,1,0,0,3,0,1.0,1.0,0.7,1.7,19,14,71,0.11,0.11,0.21,0.11,0.21,0.11,0.08,0.18,0.11,0.18,Matches
1697,Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28,1996,34,20,"1,837",20.4,3,6,9,3,0,0,3,0,4.8,4.8,2.8,7.6,7,27,75,0.15,0.29,0.44,0.15,0.44,0.24,0.14,0.37,0.24,0.37,Matches
1698,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,34,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1699,John McGinn,sct SCO,"MF,FW",Aston Villa,eng Premier League,29,1994,34,27,"2,223",24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.20,0.04,0.20,0.13,0.14,0.27,0.11,0.26,Matches
1700,Scott McKenna,sct SCO,DF,Las Palmas,es La Liga,27,1996,29,28,"2,466",27.4,0,0,0,0,0,0,5,1,1.1,1.1,0.7,1.8,11,45,3,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1701,Weston McKennie,us USA,"MF,DF",Juventus,it Serie A,25,1998,32,27,"2,310",25.7,2,4,6,2,0,0,3,0,2.9,2.9,3.5,6.4,28,101,153,0.08,0.16,0.23,0.08,0.23,0.11,0.14,0.25,0.11,0.25,Matches
1702,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,25,1999,30,29,"2,496",27.7,1,1,2,1,0,0,1,1,1.4,1.4,0.5,1.9,10,97,5,0.04,0.04,0.07,0.04,0.07,0.05,0.02,0.07,0.05,0.07,Matches
1703,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,24,1999,21,15,"1,371",15.2,4,6,10,4,0,0,1,0,1.1,1.1,5.2,6.3,38,69,80,0.26,0.39,0.66,0.26,0.66,0.07,0.34,0.41,0.07,0.41,Matches
1704,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,27,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
1705,Scott McTominay,sct SCO,MF,Napoli,it Serie A,27,1996,34,33,"2,938",32.6,12,4,16,12,0,0,3,0,7.4,7.4,2.7,10.1,56,112,131,0.37,0.12,0.49,0.37,0.49,0.23,0.08,0.31,0.23,0.31,Matches
1706,Jakov Medić,hr CRO,DF,Bochum,de Bundesliga,25,1998,23,17,"1,603",17.8,1,0,1,1,0,0,2,0,0.9,0.9,0.2,1.0,2,27,3,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Matches
1707,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,25,1999,29,29,"2,543",28.3,0,1,1,0,0,0,15,1,1.8,1.8,2.0,3.8,46,174,42,0.00,0.04,0.04,0.00,0.04,0.06,0.07,0.13,0.06,0.13,Matches
1708,Ben Mee,eng ENG,DF,Brentford,eng Premier League,34,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1709,Jayden Meghoma,eng ENG,DF,Brentford,eng Premier League,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1710,Henrik Meister,dk DEN,FW,Rennes,fr Ligue 1,20,2003,4,0,63,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,2,1,4,1.43,0.00,1.43,1.43,1.43,0.09,0.37,0.45,0.09,0.45,Matches
1711,Bamo Meïté,ci CIV,DF,Montpellier,fr Ligue 1,22,2001,7,6,424,4.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1712,Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,22,2001,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1713,Mohamed Meité,fr FRA,FW,Rennes,fr Ligue 1,16,2007,12,5,544,6.0,2,0,2,2,0,0,0,0,2.5,2.5,0.6,3.1,8,6,37,0.33,0.00,0.33,0.33,0.33,0.41,0.10,0.51,0.41,0.51,Matches
1714,Mateo Mejía,es ESP,FW,Sevilla,es La Liga,21,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1715,Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,27,1997,32,22,"1,893",21.0,2,3,5,2,0,0,1,0,3.6,3.6,3.1,6.7,62,43,113,0.10,0.14,0.24,0.10,0.24,0.17,0.15,0.32,0.17,0.32,Matches
1716,Filippo Melegoni,it ITA,"MF,FW",Genoa,it Serie A,25,1999,3,1,89,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,2,0.00,1.01,1.01,0.00,1.01,0.04,0.51,0.55,0.04,0.55,Matches
1717,Arthur Melo,br BRA,MF,Girona,es La Liga,27,1996,15,10,941,10.5,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,24,70,17,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
1718,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,22,2002,24,19,"1,676",18.6,1,3,4,1,0,0,3,0,2.2,2.2,5.0,7.2,58,127,108,0.05,0.16,0.21,0.05,0.21,0.12,0.27,0.39,0.12,0.39,Matches
1719,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,27,1997,27,19,"1,531",17.0,3,2,5,3,0,0,4,0,3.5,3.5,2.0,5.5,32,91,86,0.18,0.12,0.29,0.18,0.29,0.21,0.12,0.33,0.21,0.33,Matches
1720,Antoine Mendy,sn SEN,DF,Nice,fr Ligue 1,20,2004,18,8,825,9.2,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.7,12,35,15,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
1721,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,29,1995,14,12,"1,005",11.2,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0.5,12,36,40,0.00,0.09,0.09,0.00,0.09,0.00,0.05,0.05,0.00,0.05,Matches
1722,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,32,1992,10,7,588,6.5,0,1,1,0,0,0,2,0,0.2,0.2,0.1,0.3,2,28,3,0.00,0.15,0.15,0.00,0.15,0.03,0.01,0.04,0.03,0.04,Matches
1723,Nobel Mendy,fr FRA,DF,Betis,es La Liga,19,2004,2,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1724,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,26,1998,29,26,"2,280",25.3,0,1,1,0,0,0,2,0,0.2,0.2,2.6,2.8,52,93,101,0.00,0.04,0.04,0.00,0.04,0.01,0.10,0.11,0.01,0.11,Matches
