ranker,player,nationality,position,team,comp_level,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches,player_id
187,Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,23,2000,10.0,16,0,0,2,0,15.4,0.35,-0.6,-0.06,57,195,29.2,328,36,46.3,34.2,58,74.1,50.2,169,10,5.9,8,0.80,12.5,Matches,2512
188,Zion Suzuki,jp JPN,GK,Parma,it Serie A,21,2002,36.8,53,5,3,5,2,51.4,0.32,+0.4,+0.01,204,669,30.5,1272,184,41.4,37.5,223,63.7,52.4,614,64,10.4,38,1.03,12.1,Matches,2528
189,Mile Svilar,rs SRB,GK,Roma,it Serie A,24,1999,38.0,35,4,0,4,1,42.5,0.26,+8.5,+0.22,124,413,30.0,1258,170,23.8,30.6,200,56.5,45.5,495,30,6.1,33,0.87,13.7,Matches,2532
190,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,34,1990,15.0,12,1,0,1,0,12.0,0.35,0.0,0.00,24,63,38.1,398,61,12.3,25.1,54,25.9,31.0,130,7,5.4,56,3.73,20.2,Matches,2538
191,Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,23,2001,1.0,1,0,0,0,0,1.5,0.37,+0.5,+0.46,3,4,75.0,30,4,13.3,25.4,2,0.0,21.5,5,1,20.0,1,1.00,15.6,Matches,2571
192,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,32,1992,7.5,9,1,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,224,40,12.1,26.5,27,14.8,32.0,83,5,6.0,13,1.74,17.0,Matches,2573
193,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,34,1990,3.0,3,0,0,0,0,3.1,0.24,+0.1,+0.03,8,25,32.0,78,14,28.2,28.8,11,27.3,26.5,20,1,5.0,3,1.00,17.0,Matches,2575
194,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,34,1990,25.5,34,0,0,6,1,34.9,0.30,+1.9,+0.08,89,312,28.5,813,123,31.7,29.9,130,41.5,36.9,394,24,6.1,28,1.10,13.6,Matches,2629
195,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,25,1999,5.0,5,0,1,1,0,9.5,0.38,+4.5,+0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.00,12.9,Matches,2630
196,Stefano Turati,it ITA,GK,Monza,it Serie A,22,2001,29.7,52,2,1,8,2,47.4,0.31,-2.6,-0.09,177,442,40.0,942,126,38.3,33.7,131,61.8,46.9,414,22,5.3,26,0.87,13.3,Matches,2641
